DAYS_OUT,AGE,GAMES_PLAYED,GAMES_STARTED,MINUTES_PLAYED,HEIGHT,WEIGHT,POSITION,MPG,injuries_last_3,avg_days_out_last_3
36,27.0,61,9.0,1305,79,200.0,Forward,21.39344262295082,1,19.0
12,28.0,30,1.0,494,79,200.0,Forward,16.466666666666665,3,18.333333333333332
48,31.0,59,59.0,1699,79,200.0,Forward,28.796610169491526,1,12.0
3,22.0,74,56.0,1449,76,202.0,Guard-Forward,19.58108108108108,0,0.0
8,23.0,58,43.0,1634,76,202.0,Guard-Forward,28.17241379310345,2,1.5
5,24.0,65,37.0,1451,76,202.0,Guard-Forward,22.323076923076922,5,2.2
8,25.0,72,45.0,1774,76,202.0,Guard-Forward,24.63888888888889,6,2.6666666666666665
3,26.0,80,31.0,2279,76,202.0,Guard-Forward,28.4875,6,3.5
98,19.0,8,0.0,23,81,218.0,Forward,2.875,0,0.0
83,20.0,6,1.0,43,81,218.0,Forward,7.166666666666667,12,8.166666666666666
33,21.0,9,0.0,40,81,218.0,Forward,4.444444444444445,20,9.05
159,22.0,2,0.0,7,81,218.0,Forward,3.5,23,9.304347826086957
111,24.0,22,0.0,192,81,218.0,Forward,8.727272727272727,15,12.8
9,25.0,6,0.0,36,81,218.0,Forward,6.0,15,18.0
8,21.0,56,13.0,713,81,240.0,Forward-Center,12.732142857142858,0,0.0
66,23.0,20,0.0,58,81,240.0,Forward-Center,2.9,1,8.0
19,19.0,3,0.0,11,86,260.0,Center,3.6666666666666665,0,0.0
29,20.0,14,0.0,61,86,260.0,Center,4.357142857142857,1,19.0
110,21.0,11,4.0,120,86,260.0,Center,10.909090909090908,3,16.0
113,23.0,26,0.0,138,86,260.0,Center,5.3076923076923075,6,23.166666666666668
78,24.0,4,0.0,28,86,260.0,Center,7.0,6,37.166666666666664
15,25.0,21,0.0,73,86,260.0,Center,3.4761904761904763,8,23.875
36,26.0,25,14.0,702,84,290.0,Center,28.08,0,0.0
10,27.0,69,67.0,1773,84,290.0,Center,25.695652173913043,1,36.0
79,27.0,31,15.0,718,77,210.0,Guard,23.161290322580644,0,0.0
24,31.0,50,5.0,663,77,210.0,Guard,13.26,0,0.0
75,23.0,3,0.0,33,73,165.0,Guard,11.0,0,0.0
152,26.0,48,41.0,1305,75,184.0,Guard,27.1875,0,0.0
174,28.0,13,0.0,79,75,184.0,Guard,6.076923076923077,2,76.0
9,29.0,15,0.0,77,75,184.0,Guard,5.133333333333334,5,65.2
93,23.0,36,0.0,285,74,205.0,Guard,7.916666666666667,0,0.0
2,27.0,70,10.0,1354,74,205.0,Guard,19.34285714285714,0,0.0
34,31.0,66,40.0,1998,79,225.0,Guard-Forward,30.272727272727273,0,0.0
107,35.0,1,0.0,3,79,225.0,Guard-Forward,3.0,0,0.0
14,23.0,39,2.0,395,77,230.0,Forward,10.128205128205128,0,0.0
31,25.0,67,51.0,1850,79,190.0,Forward,27.611940298507463,0,0.0
19,27.0,73,70.0,2279,79,190.0,Forward,31.21917808219178,1,31.0
25,36.0,70,10.0,1672,80,225.0,Forward,23.885714285714286,0,0.0
50,38.0,41,6.0,738,80,225.0,Forward,18.0,1,25.0
4,25.0,80,13.0,2024,76,220.0,Guard,25.3,0,0.0
2,28.0,71,71.0,2433,76,220.0,Guard,34.267605633802816,1,4.0
3,30.0,80,73.0,2482,76,220.0,Guard,31.025,1,2.0
106,26.0,25,0.0,276,77,250.0,Forward,11.04,0,0.0
110,21.0,13,0.0,54,84,275.0,Center,4.153846153846154,0,0.0
88,22.0,13,0.0,85,84,275.0,Center,6.538461538461538,3,36.666666666666664
7,23.0,65,25.0,1465,84,275.0,Center,22.53846153846154,12,16.5
40,24.0,53,41.0,1428,84,275.0,Center,26.943396226415093,13,15.76923076923077
18,25.0,27,0.0,167,84,275.0,Center,6.185185185185185,11,12.272727272727273
10,25.0,76,62.0,2190,76,205.0,Guard,28.81578947368421,0,0.0
3,25.0,77,18.0,1883,74,175.0,Guard,24.454545454545453,0,0.0
11,28.0,49,25.0,1159,74,175.0,Guard,23.653061224489797,1,3.0
32,30.0,63,5.0,1193,74,175.0,Guard,18.936507936507937,2,5.5
24,31.0,57,21.0,1422,74,175.0,Guard,24.94736842105263,4,10.75
17,32.0,33,2.0,656,74,175.0,Guard,19.87878787878788,4,14.0
8,33.0,62,9.0,1013,74,175.0,Guard,16.338709677419356,6,12.166666666666666
65,24.0,21,0.0,101,77,195.0,Guard,4.809523809523809,0,0.0
47,25.0,23,0.0,167,77,195.0,Guard,7.260869565217392,5,13.0
12,26.0,22,0.0,108,77,195.0,Guard,4.909090909090909,7,16.0
73,28.0,38,18.0,707,77,226.0,Guard,18.605263157894736,0,0.0
24,20.0,64,64.0,2088,78,220.0,Guard,32.625,0,0.0
15,24.0,44,0.0,375,82,253.0,Forward,8.522727272727273,0,0.0
11,24.0,70,70.0,2324,79,210.0,Guard-Forward,33.2,0,0.0
76,29.0,9,5.0,153,79,210.0,Guard-Forward,17.0,0,0.0
22,30.0,68,47.0,1631,79,210.0,Guard-Forward,23.985294117647058,3,25.333333333333332
18,34.0,42,0.0,448,79,210.0,Guard-Forward,10.666666666666666,0,0.0
44,26.0,60,12.0,1372,77,205.0,Forward,22.866666666666667,0,0.0
14,27.0,71,49.0,2078,77,205.0,Forward,29.267605633802816,7,6.285714285714286
52,21.0,27,3.0,189,81,260.0,Forward,7.0,0,0.0
143,24.0,11,0.0,143,83,230.0,Center,13.0,0,0.0
105,25.0,40,22.0,640,83,230.0,Center,16.0,1,143.0
35,31.0,44,1.0,380,83,230.0,Center,8.636363636363637,0,0.0
19,32.0,31,0.0,204,83,230.0,Center,6.580645161290323,5,7.0
297,33.0,1,0.0,1,83,230.0,Center,1.0,8,6.75
123,32.0,14,0.0,168,78,220.0,Forward,12.0,0,0.0
85,33.0,14,0.0,164,78,220.0,Forward,11.714285714285714,3,41.0
14,20.0,58,34.0,1551,79,217.0,Forward-Guard,26.74137931034483,0,0.0
120,21.0,26,21.0,750,79,217.0,Forward-Guard,28.846153846153847,4,3.5
75,22.0,34,7.0,797,79,217.0,Forward-Guard,23.441176470588236,5,26.8
21,23.0,20,8.0,438,79,217.0,Forward-Guard,21.9,14,14.928571428571429
6,20.0,67,2.0,1176,75,210.0,Guard,17.55223880597015,0,0.0
19,24.0,18,1.0,64,81,250.0,Forward-Center,3.5555555555555554,0,0.0
